Area,Period,Gear,District,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
101-IN,0,SE,101,278975,72156,466052,92294,410189,1842398,862262,201,47168,660933,10786,187861,291608,407395,6512,272332,1591872,209528,229535,166745,116094,973528,693760,378900,19224,45593,25471,459,214472,130108,106440,0,112606,369514,166797,29167,267850,545
101-IN,0,TR,101,0,0,0,0,0,6,18,150,1004,2072,196,203,0,0,0,0,0,0,0,0,2,29,763,14,5,1,9,25,1,5470,2949,21108,48104,40869,39521,1165,12784,4237
101-OUT,1,GN,101,111856,98232,25463,78080,75362,20902,61375,99396,60206,57369,16973,37644,96925,98046,37119,69728,90429,62753,98725,57843,51124,41459,14680,156581,82860,228567,34010,44351,31648,45660,70018,80222,38749,109044,66606,31086,92638,48637
101-OUT,2,GN,101,43103,90422,43366,271536,315097,264091,191714,210140,31047,732261,116871,299166,59642,110827,15464,176451,116127,178794,246291,185325,113369,250720,152875,228127,118323,192417,89509,152421,37753,50155,126893,103433,70432,283695,236865,47527,167579,65305
101-OUT,3,GN,101,328650,148576,50546,298881,215793,306839,258118,242614,107423,326171,167297,186948,165911,132389,61809,313970,98543,110798,202225,142970,182828,163372,181106,128763,131083,80745,57168,106377,99425,46649,194854,85125,52207,201046,212626,46535,170468,60491
101-OUT,4,GN,101,191815,96505,229852,124629,114454,99617,395199,30995,31796,232046,279414,76771,258818,139701,149256,229358,65936,28348,102438,225307,76662,62186,163875,107901,75175,54695,32274,36843,102340,28111,177745,67043,42470,99487,192260,22993,130336,49006
101-OUT,1,SE,101,0,0,128075,72480,110012,0,281141,56758,165807,25746,13385,24745,763874,229023,304333,86817,560450,115109,147822,156130,165655,286164,19831,369145,321680,686178,98781,31791,8695,808786,255757,60694,13621,476563,122591,289880,752733,138368
101-OUT,2,SE,101,240897,322253,119492,1974536,2155076,1050727,2611753,359043,264610,5221685,711857,2627829,987341,1057087,237263,1771512,6371766,617779,1476949,1655731,958479,3975798,1650016,2468032,2228471,1512863,366328,949309,176508,2174312,1427039,281217,1443253,5761718,3732332,678559,1782566,199381
101-OUT,3,SE,101,2105048,761403,835995,1682550,2333791,2057587,2950340,456142,936311,4914491,1755779,1159902,1726503,1959163,863310,7108780,5612250,224594,2835978,2003665,1181184,2185593,3160414,2493539,3695799,1969785,115283,1401444,1544023,3471591,3114121,192336,1434965,4843892,2226007,513214,1560729,221064
101-OUT,4,SE,101,1228582,44014,2389744,1427168,698649,2155929,2885842,0,128448,1913207,727387,299780,1190680,3080296,435628,2315919,1647408,169311,965509,2499641,744648,1941713,2470749,947797,1296349,1365759,4627,176917,1103277,1203198,1424191,832,374842,1714721,1046511,0,390341,507553
