Area,Period,Gear,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,District
3-(2-4),4,GN,16741.85573,0,16051.68373,8388.193438,1992.427702,4848.772582,53971.59247,10706.33434,3245.282831,537.6105707,2829.681232,3684.88693,8876.163377,2810.179551,482.1871324,7485.919204,1186.094365,0,0,108.9915115,803.0656189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3-(2-4),1,SE,74232.61415,88030.91452,11945.24495,24540.7591,238431.0575,22396.02226,12010.1575,42560.68441,12072.0028,253428.9,4585.590409,412748.2884,15938.72276,30000.12114,13405.94373,64956.89537,46100.1311,31511.04691,5126,22354.39088,25664.13551,0,0,0,39792.21857,52519.2961,0,0,0,0,0,16037.10173,1747.978117,308764,178501,59397,75122,13840,3
3-(2-4),2,SE,100119.0423,155068.194,85694.4572,1970330.082,301685.7751,388252.3311,429220.7754,715510.4411,19479.12718,797819.7048,91723.69821,2428426.316,162441.413,390110.9868,64387.95916,734990.1945,248212.4142,254455.7113,0,608033.465,27120.7102,858798.2506,420701.315,566470.1072,316258.4623,402373.3205,108701,1426112.029,6539,324017,26718,134945.3673,115544.4247,614212,169288,9468,327973,217354,3
3-(2-4),3,SE,67385.22869,0,178468.855,714373.1211,189862.222,495924.3309,812911.0014,616415.5442,71110.7891,498825.1894,190444.0218,892412.6144,394004.6375,381658.6476,61367.92533,474500.7174,86553.71139,24039.76852,44862,732420.3368,28809.38948,280044.5731,666633.3877,62703.00063,133779.62,387082.4844,0,282457.4024,0,55556,0,37247.66389,32006.17033,316859,101026,NA,27186,0,3
3-(2-4),4,SE,160637.8287,0,164809.9034,182282.414,21759.1325,36406.731,158441.9253,88597.05337,64769.42843,27237.32999,85.87247956,112410.4206,128022.9049,162383.2774,246.4327892,14876.8325,2801.129723,0,0,849837.2147,0,0,45565.32133,10697.58408,0,2545.361685,0,3122.646654,0,12929,0,0,0,0,0,NA,0,0,3
3-(7-17),1,GN,4971.161783,5364.167161,953.2327554,10559.00416,38753.87718,159.7385463,2788.027765,2624.266418,877.1959568,35037.42492,2462.897235,42249.39624,21457.94865,43250.03649,11416.23813,50951.3505,21111.08429,4037.248337,2905,13313.96308,10875.66305,1364.573055,10603,33122.9387,16367.46826,134677.857,13548,10383,963,14514,5365,11950.07661,10562.22789,141540,9463,75859,2,745,3
3-(7-17),2,GN,21188.32357,12303.31233,6259.001859,105087.8298,48154.19742,95487.25454,9142.288622,57444.24832,9868.169339,604.8118921,1229.299492,92879.74266,37705.05542,16608.50445,625.0121817,57823.48738,25224.73862,141.8355752,29984,103750.9197,81964.10891,14551.884,104625,326840.2774,92615.26775,110292.6869,35419,64082,9198,178571,15169,0,44595.96585,142034,20624,49199,844,0,3
3-(7-17),3,GN,39226.69268,26071.21302,3406.652303,90435.79903,61417.74229,48422.01059,47221.08349,42261.99358,6443.797087,34015.96484,2172.048987,42856.31879,20377.8979,40074.48456,2482.95855,31990.85413,14381.04532,0,16333,226670.3464,113694.9943,10787.2866,11182,34931.6892,63170.83597,0,0,0,0,0,0,10657.99917,0,0,0,22629,5271,0,3
3-(7-17),4,GN,3665.694586,0,11458.73957,20711.21673,8728.455076,2533.574664,66745.07289,20052.42236,0,6175.801431,4103.395975,8922.845323,20404.09316,62864.89358,4685.149909,4140.712802,2868.952957,0,5651,81287.66914,5201.563742,0,0,0,0,0,0,0,0,0,0,1879.743115,0,0,0,0,0,0,3
3-(7-17),1,SE,10648.04766,29797.01462,8806.829578,102345.2427,295801.6153,5937.67283,14369.33151,0,0,309839.9196,6441.757082,179894.6329,14644.86773,94446.95033,10560.87718,35980.29333,27731.18426,19860.43272,4928,27701.99656,22128.09322,0,0,0,68412.32058,21845.14244,0,0,0,0,0,1931.758861,688.4423331,250405,213363,45103,72950,20685,3
3-(7-17),2,SE,150650.8175,171985.2831,0,1960860.712,280478.2826,489589.7137,345444.4439,1143626.837,41970.60027,892523.0569,108838.7439,3178175.658,123924.0605,242419.717,39795.19897,271758.1557,175325.5823,42799.5474,130265,651290.6362,67371.90834,34167.60465,506396.052,762983.805,315140.6875,545480.3421,47011,787086.4766,5768,221629,7489,110129.0221,154766.4432,571404,136192,67250,359505,327541,3
3-(7-17),3,SE,125556.4421,45980.24864,152788.6064,978939.2567,223781.9514,691893.924,656641.1258,568486.7916,82367.16997,388469.0997,123265.3205,746765.1999,243293.8495,301838.9074,53064.3725,166619.2585,94595.58724,34582.57246,186110,1136070.946,115406.8995,21475.81082,581072.7201,295381.8556,199829.6911,446744.0654,0,400232.3444,0,15793,0,62423.08603,129347.8214,148635,63485,0,30122,124282,3
3-(7-17),4,SE,0,0,70211.27,183924.4052,10904.08358,23310.8637,250252.5271,3040.97471,0,9279.011531,0,130382.6182,86456.27739,97144.00817,8952.903232,23540.95801,0,0,17057,1015864.013,1599.863745,1122.760861,28765.20393,100720.6475,0,29420.98726,0,12672.10105,0,15151,0,0,0,22810,0,0,0,0,3
3,1,TR,713,352,4750,46759,20292,9889,36830,16241,6415,21094,11342,25170,15493,10315,4103,23258,1195,39,0,0,0,267.9768304,0,0,0,0,0,0,0,0,0,0,0,0,0,789,0,0,3
3,2,TR,8607,2892,6755,53958,20918,14925,21496,77022,20516,60147,35182,16041,9979,33990,10209,124838,480424,438,0,0,0,141.39481,0,0,0,0,0,0,0,0,0,0,681.5571429,415,0,76,57,8,3
3,3,TR,41805,2976,3189,6384,30442,15188,30082,60552,104596,77173,40763,11944,22651,41039,24365,24580,57958,0,0,0,0,0,143,6303.540974,1505.790941,0,0,0,0,0,32,268,77.35714286,4009,38,30,576,1523,3
3,4,TR,21169,5320,15803,9899,32644,8904,26692,3353,22682,21009,29126,15329,37665,64404,39937,15772,36991,0,0,0,0,1043.62836,45,2041.459026,402.2090592,1,36,0,0,458,1213,0,124.5857143,1557,465,2,120,91,3
4-OUT,1,GN,17153.6978,72980.23201,8441.575263,2941.420003,7660.640603,18953.06116,4179.022477,7943.855501,17917.75337,38950.37114,4122.224676,15872.94406,15268,47188.28498,12831.70486,16610.36923,27641.23312,9956,13668,0,7101.097091,6127.878532,4489.239519,3281.134293,3329.393684,0,3308,0,0,0,0,784.5742934,2279.622667,0,17119,0,7062,0,4
4-OUT,2,GN,16517.33688,54023.53512,6568.841747,16820.6497,30315.29131,46450.56391,16480.53314,16560.44922,25216.03742,3537.63166,20794.72633,16842.00108,44301,7975.457442,58634.26571,63132.16963,22645.94552,2336,0,0,4894.046119,3778.997598,3413.221064,8511.382764,4001.081614,0,39264,55833.5418,8388,0,9179,4669.980134,187.4552325,0,32968,0,3263,0,4
4-OUT,3,GN,13.81778988,3813.611542,1224.646757,5802.208126,9540.210478,8289.696367,7293.563908,16470.49425,4401.239386,0,0,1660.569679,8109,490.1607935,460.0587875,1591.249057,2970.292893,0,0,0,0,0,0,0,0,0,16978,17787.37918,3930,0,0,8228.112709,0,0,0,0,0,0,4
4-OUT,4,GN,56.65624115,539.2250264,67.20872527,1805.649843,0,1559.577531,11205.74381,4946.72061,2573.277099,0,0,679.52865,3056,87.8930087,252.4597855,0,41.00869565,0,0,0,0,0,0,0,0,0,1749,0,0,0,0,613.7751144,0,0,0,0,0,0,4
4-OUT,1,SE,92.40588235,2960.1,25.05196078,0,0,0,0,0,0,0,0,0,0,71.76989407,0,0,1614.798263,45,0,0,435.1750613,0,0,0,651.1253744,0,0,0,0,0,NA,0,NA,0,0,0,0,0,4
4-OUT,2,SE,3299.383814,75718.67121,78265.62053,0,191267.3742,241608.1751,147737.5461,88599.323,31555.0215,0,0,0,84720,76685.48074,0,104826.0049,199246.5395,1710,0,0,6603.502597,0,104043.7634,1222.728538,4386.95721,0,13876,49105.03184,3197,0,NA,0,NA,0,0,0,0,0,4
4-OUT,3,SE,0,0,0,0,0,0,0,48077.43432,54863.47379,0,38870.43996,0,126697,0,0,0,0,0,0,0,0,0,84071.00633,0,0,0,1321,39001.13497,5369,24075,NA,0,NA,0,0,0,1826,0,4
4-OUT,4,SE,46.43105672,0,0,0,0,0,0,27626.47875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21591.9396,0,0,0,0,23.26402147,0,6844,NA,0,NA,0,0,200,0,0,4
4-IN,0,GN,132697.6913,710781.6963,131555.3275,596539.2723,515154,874780,1074781,1406166,393060,572625,862993,1088002,783914,392941.2038,149734.5109,538143.2121,328006.5198,190969,14748,0,54797.85679,178258,117627.5394,200024.4829,72923.5247,0,158434,73621,41238,7419,8406,91204.55775,8768.172101,8,260307,949,60308,0,4
4-IN,0,SE,3135.879247,62678.42879,40905.62751,0,124229,507182,126653,165130,61052,360603,83107,653678,154026,36576.74936,0,762637.9951,957445.6622,165960,0,296660,282753.3223,987254,170694.2907,1086177.271,90066.91742,0,127711,217193.5692,83035,434448,0,134546,17572.88,0,473782,616,13438,0,4
4,1,TR,132,112,2125,11116,7482,8764,5359,5169,6723,4263,2815,24438,53088,1113,13,1579,37,1253,0,0,0,74.66588648,0,0,0,0,0,0,0,0,0,134.0726257,0,0,194,721,37,0,4
4,2,TR,5237,2384,4773,13964,22420,6782,6908,29980,6302,6456,12393,48311,17545,4355,261,3693,5077,1416,0,0,0,799.3341135,0,305,0,0,377,0,38,0,0,943.1117318,1551.803893,1874,370,699,2606,0,4
4,3,TR,4417,3074,2140,3333,29148,10483,9248,14450,7076,7578,10108,11757,14178,188,377,1016,4009,13508,0,0,0,0,0,0,1357.912451,0,532,0,35,526,316,199.6703911,762.3979347,1130,5,175,544,0,4
4,4,TR,1045,1667,3553,1434,14863,3390,11085,1425,5000,1697,3654,662,10431,4200,829,522,19894,670,0,0,0,0,0,0,260.0875493,2456,51,0,0,98,989,165.1452514,450.6481719,12,470,62,20,0,4
5-OUT,1,GN,3215.365263,1941.376259,2737.541055,363.1463984,110.2912271,271.0281575,1184.274802,661.7954545,536.9476082,2866.272671,1852.001668,0,655,1919.665196,2362.331941,724,1957,1090,0,0,0,0,448.1535484,1012.732007,1474.898587,0,2200.680415,0,160,0,0,43.69178662,0,0,1884,0,693,0,5
5-OUT,2,GN,6037.732067,1359.573487,2251.630088,2541.632569,2099.901986,1098.347026,559.2732919,2309.376013,1979.779825,105,6699.681891,5374.539134,970,2670.743775,4365.286597,6101,3793,1521,0,0,0,0,33.08516129,604.4368897,1880.336077,0,1080.644824,393,0,0,0,84.90770533,0,0,0,0,0,0,5
5-OUT,3,GN,2709.849039,0,137.4507219,942.944177,2167.978384,1221.563855,22379.30714,2157.670934,43.8232362,3484.368053,524.035691,443.1350546,235,567.8217822,2226.241901,564,611,0,0,0,0,0,0,0,0,0,143.0702397,0,0,0,0,0,NA,0,0,0,0,0,5
5-OUT,4,GN,3486.281619,999.4377851,488.9953112,1081.118247,311.4973838,0,7123.553522,0,862.9618585,72.91014717,0,15.85843373,207,0,0,0,0,0,0,0,0,0,0,0,0,0,125.6045221,0,0,0,0,0,NA,0,0,0,0,0,5
5-OUT,1,SE,245.0233729,30.39569642,151.479628,18.87044651,0,0,0,0,130.7317073,0,747.9108635,0,0,29.08726179,0,686,103,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,5
5-OUT,2,SE,200.658485,194.7960066,511.4304867,437.0376573,1631.123431,2381.237651,0,1230.691685,293.895546,0,0,13.39630525,0,13117.92946,4494.16414,8757,13907,1119,0,0,0,0,1348.617071,28406.59779,0,0,3548.516063,10112,0,0,0,0,NA,0,NA,0,0,0,5
5-OUT,3,SE,27.30113497,0,0,54.2815932,834.8164756,423.6088432,0,1795.622405,0,0,7514.410334,0,0,0,4775.060241,253,238,11,0,0,0,0,0,0,0,0,8724.483937,0,0,0,0,0,NA,0,NA,0,0,0,5
5-OUT,4,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4779.908607,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,5
5-IN,0,GN,76112.27201,17940.86247,16325.88282,24060.40861,22640.33102,11069.06096,77034,13869,12025,19787,21046,13878,18669,1969.769247,4380.139562,11455,10647,3618,1409,0,9347,4782,295.7612903,1149.831103,1783.765336,0,1181,0,29,NA,116,43.40050804,13,0,1182,0,459,0,5
5-IN,0,SE,327680.142,12516.5583,54701.96489,90275.3103,528104.4351,280111.1535,1095168,369511,321273,293327,685616,461227,176656,9458.983279,18925.77562,204680,249883,17153,1566,15651,24802,232162,464875.4743,274788.4022,153153,187403,7315,365793,413,116706,450,0,NA,0,83146,0,0,0,5
5,1,TR,276,50,1435,1291,126,721,4474,427,909,5264,1096,388,1966,235,26,576,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,5
5,2,TR,659,682,840,1503,322,8316,1742,1403,1883,6786,7892,4412,3685,1147,70,6007,3629,801,0,0,0,0,0,220.5611672,0,0,5,0,0,713,0,0,0,1277,0,1437,132,0,5
5,3,TR,4782,187,768,1109,657,6315,2732,1916,6730,1585,3844,605,7181,1892,203,11134,5437,503,0,0,0,0,5,4295.428732,35.15981735,0,0,0,0,4,0,0,0,2888,0,1166,87,0,5
5,4,TR,3760,544,1491,2168,1145,1498,3554,846,5512,1513,160,700,3021,5669,3716,10532,2850,1260,0,0,0,0,195,397.010101,19.84018265,0,0,0,17,19,10,0,0,0,0,43,5,0,5
